Batch,AddTime(ns),PollTime(ns)
836,95292,126042
837,95208,199000
838,96916,126125
839,94875,126125
840,92667,125541
841,95125,125708
842,93667,127333
843,93459,127417
844,93500,126917
845,97583,127334
846,93625,127125
847,135791,127375
848,92667,126375
849,95541,125792
850,100875,915500
851,140333,131417
852,99833,128875
853,95750,128500
854,91417,128209
855,93541,128125
856,93958,127750
857,94375,141875
858,121875,172459
859,104334,129875
860,95750,128458
861,92917,127333
862,95917,126791
863,95833,126667
864,95500,126584
865,95375,126041
866,95208,125917
867,108209,134625
868,93042,126542
869,95834,126500
870,96250,126250
871,94917,126041
872,95417,126042
873,95584,126667
874,118083,140666
875,94250,129250
876,96792,127667
877,98833,141833
878,95791,126708
879,94375,134917
880,93583,127792
881,92916,127583
882,90625,127250
883,94709,138375
884,94000,127375
885,93375,127500
886,93416,127541
887,92833,127834
888,101542,127625
889,113833,127917
890,91250,174125
891,98583,130167
892,94417,134542
893,93084,128167
894,93250,138084
895,93750,128166
896,92958,127333
897,90500,285875
898,97000,131708
899,94042,128916
900,95333,134500
901,93500,127791
902,93541,127792
903,93083,127708
904,90541,127250
905,93250,127541
906,93208,127250
907,93625,126916
908,93375,127917
909,92959,127584
910,90875,127042
911,90667,127458
912,93792,127583
913,93666,127167
914,93750,127125
915,96167,127375
916,93042,127333
917,90625,126917
918,94000,126792
919,93625,126875
920,97500,170291
921,100708,129084
922,95667,128042
923,95500,170584
924,95958,128833
925,103834,129125
926,94875,178500
927,94709,127750
928,93375,127292
929,94541,127833
930,93583,127625
931,93208,126041
932,92625,125792
933,96750,125916
934,95916,125875
935,107666,126292
936,144167,126917
937,95709,126625
938,95750,138333
939,93416,125875
940,96000,145750
941,97958,130167
942,94084,211583
943,96125,128875
944,99083,128708
945,93084,127667
946,96750,126750
947,96125,139625
948,100209,135833
949,231083,128417
950,93583,127625
951,93542,127750
952,98292,127708
953,90416,127583
954,95333,128292
955,120209,338792
956,49542,135625
957,48666,96917
958,63334,99375
959,59666,99458
960,38417,97791
961,42166,97709
962,41542,113416
963,49916,97208
964,41584,96667
965,41417,172666
966,47584,99917
967,38417,98375
968,42083,98041
969,42000,167209
970,45667,98875
971,65083,97333
972,42084,96084
973,41792,95542
974,38667,94958
975,41625,94209
976,41833,94292
977,41625,94167
978,41792,94875
979,41458,98625
980,41583,98375
981,38708,97541
982,41875,97250
983,92042,96542
984,44958,96375
985,41459,96209
986,41875,96292
987,38958,96042
988,41583,96083
989,41583,96042
990,41542,115625
991,52167,118750
992,75209,96375
993,41791,95792
994,38708,622625
995,42459,97709
996,14792,96667
997,14458,96500
998,14416,144500
999,15333,113292
